date_time,   Speed,  Direc ,   Temp , Humidty,   Rad. 
2006-10-01 00:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 01:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 02:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 03:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 04:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 05:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 06:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 07:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 08:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 09:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 10:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 11:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 12:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 13:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 14:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 15:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 16:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 17:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 18:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 19:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 20:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 21:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 22:00:00,-999.0,-999,-999.0,-999,-999
2006-10-01 23:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 00:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 01:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 02:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 03:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 04:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 05:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 06:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 07:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 08:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 09:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 10:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 11:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 12:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 13:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 14:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 15:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 16:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 17:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 18:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 19:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 20:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 21:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 22:00:00,-999.0,-999,-999.0,-999,-999
2006-10-02 23:00:00,-999.0,-999,-999.0,-999,-999
2006-10-03 00:00:00,-999.0,-999,-999.0,-999,-999
2006-10-03 01:00:00,-999.0,-999,-999.0,-999,-999
2006-10-03 02:00:00,-999.0,-999,-999.0,-999,-999
2006-10-03 03:00:00,-999.0,-999,-999.0,-999,-999
2006-10-03 04:00:00,-999.0,-999,-999.0,-999,-999
2006-10-03 05:00:00,-999.0,-999,-999.0,-999,-999
2006-10-03 06:00:00,-999.0,-999,-999.0,-999,-999
2006-10-03 07:00:00,-999.0,-999,-999.0,-999,-999
2006-10-03 08:00:00,-999.0,-999,-999.0,-999,-999
2006-10-03 09:00:00,-999.0,-999,-999.0,-999,-999
2006-10-03 10:00:00,-999.0,-999,-999.0,-999,-999
2006-10-03 11:00:00,-999.0,-999,-999.0,-999,-999
2006-10-03 12:00:00,-999.0,-999,-999.0,-999,-999
2006-10-03 13:00:00,-999.0,-999,-999.0,-999,-999
2006-10-03 14:00:00,-999.0,-999,-999.0,-999,-999
2006-10-03 15:00:00,-999.0,-999,-999.0,-999,-999
2006-10-03 16:00:00,-999.0,-999,-999.0,-999,-999
2006-10-03 17:00:00,-999.0,-999,-999.0,-999,-999
2006-10-03 18:00:00,-999.0,-999,-999.0,-999,-999
2006-10-03 19:00:00,-999.0,-999,-999.0,-999,-999
